Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
list-fields/64/work,4.6487894415728973e-7,4.644163886241219e-7,4.653122540171226e-7,9.374958161229157e-10,7.680638806417124e-10,1.1317040915192067e-9
data-list-fields/64/control,2.3159425185153984e-7,2.30833681673412e-7,2.3456055236130367e-7,2.887127274786293e-9,3.644149420632586e-10,5.269449334574048e-9
data-list-fields/64/work,4.637927080149569e-7,4.6331499529826523e-7,4.642464387899366e-7,9.618136692477003e-10,8.034614382311109e-10,1.1854019197851826e-9
data-constr-fields/64/control,2.3049804928667438e-7,2.3034742077570685e-7,2.3066781850187024e-7,3.498245678639941e-10,2.729605063974224e-10,4.544623973524531e-10
data-constr-fields/64/work,4.6672664567400514e-7,4.665729834829976e-7,4.668612390528059e-7,3.173758330374071e-10,2.410891448727736e-10,4.270885316518915e-10
data-map-fields/64/control,2.2950945638394599e-7,2.2933701015830084e-7,2.297151183546997e-7,4.162573562617456e-10,2.846512630954168e-10,6.37731174050045e-10
data-map-fields/64/work,4.651296561331732e-7,4.6498929216763593e-7,4.652620287675617e-7,3.1386209771687205e-10,2.529317677183571e-10,4.096741363160904e-10
root-capture-success/64/control,1.6591382921704689e-6,1.6555333700286134e-6,1.6624104105974043e-6,7.370204598709957e-9,5.968454833597786e-9,8.839579132225228e-9
root-capture-success/64/work,2.477270579261169e-6,2.465679971424194e-6,2.486999938369128e-6,2.3051408249925545e-8,1.821029920680251e-8,2.8332512590579766e-8
field-capture-success/64/control,4.652873843040793e-7,4.6493609507038267e-7,4.656044785138811e-7,7.186986169392451e-10,5.318882081495554e-10,9.52839208333614e-10
field-capture-success/64/work,1.3618577216815328e-6,1.3611269218609983e-6,1.3631381544118999e-6,2.019167330181303e-9,1.0113389871684478e-9,2.846560223131217e-9
field-capture-abandoned/64/control,4.924061403562681e-7,4.921445372431817e-7,4.92818069333175e-7,7.015438031641151e-10,4.4507080041645467e-10,1.12830294309955e-9
field-capture-abandoned/64/work,5.881714284731717e-7,5.879176136247487e-7,5.884974430616847e-7,6.161274655915023e-10,4.551952655649122e-10,8.581586216588717e-10
